,unique_identifier,song_id,song_name,duration_ms,url,popularity,date_time_played,album_id,artist_id
0,0cBPhFzSCEH9Bdc8N5xqKW-1668777296,0cBPhFzSCEH9Bdc8N5xqKW,Die A Little Bit (Remix),223036,https://open.spotify.com/track/0cBPhFzSCEH9Bdc8N5xqKW,43,2022-11-18 13:14:56.004,5xEl7MGvAzl2FxwVlngE1M,0NIIxcxNHmOoyBx03SfTCD
1,2hFUNKtpiHQnlvIZWhFKsC-1668776894,2hFUNKtpiHQnlvIZWhFKsC,So LA,132960,https://open.spotify.com/track/2hFUNKtpiHQnlvIZWhFKsC,43,2022-11-18 13:08:14.251,4Asl31lzChRm6jUZofPuAg,0chgVFZwiDibt2EHZVZhzN
2,6k5DKQMC96daK6fSvAxdQv-1668776776,6k5DKQMC96daK6fSvAxdQv,Satisfaction,155676,https://open.spotify.com/track/6k5DKQMC96daK6fSvAxdQv,60,2022-11-18 13:06:16.043,62hlQlBO241sKpVTPgwAOi,1Cs0zKBU1kc0i8ypK3B9ai
3,0cBPhFzSCEH9Bdc8N5xqKW-1668776625,0cBPhFzSCEH9Bdc8N5xqKW,Die A Little Bit (Remix),223036,https://open.spotify.com/track/0cBPhFzSCEH9Bdc8N5xqKW,43,2022-11-18 13:03:45.141,5xEl7MGvAzl2FxwVlngE1M,0NIIxcxNHmOoyBx03SfTCD
4,0cBPhFzSCEH9Bdc8N5xqKW-1668776043,0cBPhFzSCEH9Bdc8N5xqKW,Die A Little Bit (Remix),223036,https://open.spotify.com/track/0cBPhFzSCEH9Bdc8N5xqKW,43,2022-11-18 12:54:03.248,5xEl7MGvAzl2FxwVlngE1M,0NIIxcxNHmOoyBx03SfTCD
5,5PkJ2ssBCzKHaztJVASw2b-1668775629,5PkJ2ssBCzKHaztJVASw2b,Body Pump - Lady Bee Remix,176097,https://open.spotify.com/track/5PkJ2ssBCzKHaztJVASw2b,61,2022-11-18 12:47:09.083,3eVVyHEF1waq5kbMFm9pdJ,5ITI6SEoUZMIXXkzCfr4oE
6,4zN21mbAuaD0WqtmaTZZeP-1668775458,4zN21mbAuaD0WqtmaTZZeP,Ferrari,186661,https://open.spotify.com/track/4zN21mbAuaD0WqtmaTZZeP,88,2022-11-18 12:44:18.077,6moZ4sNThthUAwCklyuPY8,43BxCL6t4c73BQnIJtry5v
7,2etHQJxIbV0soyPhelVs9Y-1668775241,2etHQJxIbV0soyPhelVs9Y,Best Friend (feat. Doja Cat),155883,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y,73,2022-11-18 12:40:41.008,28Yv9BE6ZI6dccK0sxbEq4,6cK3NBO6uP7hh0oyuVELFl
8,2etHQJxIbV0soyPhelVs9Y-1668775090,2etHQJxIbV0soyPhelVs9Y,Best Friend (feat. Doja Cat),155883,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y,73,2022-11-18 12:38:10.067,28Yv9BE6ZI6dccK0sxbEq4,6cK3NBO6uP7hh0oyuVELFl
9,3XucsgiwXb8KPn9Csf9Zmu-1668768215,3XucsgiwXb8KPn9Csf9Zmu,Ferrari - Remix,172000,https://open.spotify.com/track/3XucsgiwXb8KPn9Csf9Zmu,78,2022-11-18 10:43:35.262,0zWMvd5j2ozFDLycUIVzbt,43BxCL6t4c73BQnIJtry5v
10,4zN21mbAuaD0WqtmaTZZeP-1668768214,4zN21mbAuaD0WqtmaTZZeP,Ferrari,186661,https://open.spotify.com/track/4zN21mbAuaD0WqtmaTZZeP,88,2022-11-18 10:43:34.082,6moZ4sNThthUAwCklyuPY8,43BxCL6t4c73BQnIJtry5v
11,0iQd47VJs14l8EA00PlI71-1668765945,0iQd47VJs14l8EA00PlI71,Emergency,192760,https://open.spotify.com/track/0iQd47VJs14l8EA00PlI71,43,2022-11-18 10:05:45.087,4xeOgbxFCERSTBCaxuKSqY,586uxXMyD5ObPuzjtrzO1Q
12,5ZvHcR4OSwvEV5IhigbTOT-1668765758,5ZvHcR4OSwvEV5IhigbTOT,Underwater,349293,https://open.spotify.com/track/5ZvHcR4OSwvEV5IhigbTOT,64,2022-11-18 10:02:38.080,5Jazpq8mEgSgQs06mdwkQd,5Pb27ujIyYb33zBqVysBkj
13,6XfwwfKLtIckZX4g0r69VP-1668765222,6XfwwfKLtIckZX4g0r69VP,Lost It,178171,https://open.spotify.com/track/6XfwwfKLtIckZX4g0r69VP,52,2022-11-18 09:53:42.455,7yMUYER67OvjIuGqBgrdZO,28j8lBWDdDSHSSt5oPlsX2
14,2zh01m4PiHaZz4BAm0NRxs-1668764715,2zh01m4PiHaZz4BAm0NRxs,Tie Me Down (with Elley Duhé),218239,https://open.spotify.com/track/2zh01m4PiHaZz4BAm0NRxs,64,2022-11-18 09:45:15.971,2IAVHJdaRPFA6MQqXHoG75,2ZRQcIgzPCVaT9XKhXZIzh
15,2zh01m4PiHaZz4BAm0NRxs-1668763171,2zh01m4PiHaZz4BAm0NRxs,Tie Me Down (with Elley Duhé),218239,https://open.spotify.com/track/2zh01m4PiHaZz4BAm0NRxs,64,2022-11-18 09:19:31.777,2IAVHJdaRPFA6MQqXHoG75,2ZRQcIgzPCVaT9XKhXZIzh
16,7n1940b6kHcaEewFSZXnXa-1668762580,7n1940b6kHcaEewFSZXnXa,Better Not (with Wafia),222865,https://open.spotify.com/track/7n1940b6kHcaEewFSZXnXa,64,2022-11-18 09:09:40.222,21R2CiMVZH2MY514Sq2DIG,7wg1qvie3KqDNQbAkTdbX0
17,2hFUNKtpiHQnlvIZWhFKsC-1668721763,2hFUNKtpiHQnlvIZWhFKsC,So LA,132960,https://open.spotify.com/track/2hFUNKtpiHQnlvIZWhFKsC,43,2022-11-17 21:49:23.171,4Asl31lzChRm6jUZofPuAg,0chgVFZwiDibt2EHZVZhzN
18,2hFUNKtpiHQnlvIZWhFKsC-1668674559,2hFUNKtpiHQnlvIZWhFKsC,So LA,132960,https://open.spotify.com/track/2hFUNKtpiHQnlvIZWhFKsC,43,2022-11-17 08:42:39.766,4Asl31lzChRm6jUZofPuAg,0chgVFZwiDibt2EHZVZhzN
19,5PkJ2ssBCzKHaztJVASw2b-1668674428,5PkJ2ssBCzKHaztJVASw2b,Body Pump - Lady Bee Remix,176097,https://open.spotify.com/track/5PkJ2ssBCzKHaztJVASw2b,61,2022-11-17 08:40:28.552,3eVVyHEF1waq5kbMFm9pdJ,5ITI6SEoUZMIXXkzCfr4oE
20,3nqQXoyQOWXiESFLlDF1hG-1668609600,3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),156943,https://open.spotify.com/track/3nqQXoyQOWXiESFLlDF1hG,100,2022-11-16 14:40:00.224,0gX9tkL5njRax8ymWcXARi,2wY79sveU1sp5g7SokKOiI
21,0PHWXLXOQXGlyUGq7woVFZ-1668609511,0PHWXLXOQXGlyUGq7woVFZ,Sundream,275493,https://open.spotify.com/track/0PHWXLXOQXGlyUGq7woVFZ,62,2022-11-16 14:38:31.977,3HZKPiOGyFqmLvehf77H47,5Pb27ujIyYb33zBqVysBkj
22,6vkFCzPmJ3beYG0zeevdmX-1668609241,6vkFCzPmJ3beYG0zeevdmX,Eyes,230533,https://open.spotify.com/track/6vkFCzPmJ3beYG0zeevdmX,55,2022-11-16 14:34:01.471,5Jazpq8mEgSgQs06mdwkQd,5Pb27ujIyYb33zBqVysBkj
23,3hi8XQvUXo3AlSlMmJA0qN-1668609016,3hi8XQvUXo3AlSlMmJA0qN,Like an Animal,241580,https://open.spotify.com/track/3hi8XQvUXo3AlSlMmJA0qN,55,2022-11-16 14:30:16.092,1SR9xhoYg57S95GDFpyQGT,5Pb27ujIyYb33zBqVysBkj
24,4qgIyiVn5pcAvsFQr8W5Yi-1668608779,4qgIyiVn5pcAvsFQr8W5Yi,Tell Me,229337,https://open.spotify.com/track/4qgIyiVn5pcAvsFQr8W5Yi,52,2022-11-16 14:26:19.670,1SR9xhoYg57S95GDFpyQGT,5Pb27ujIyYb33zBqVysBkj
25,6JjSoJ2laV4ZbKNb9nybvh-1668608556,6JjSoJ2laV4ZbKNb9nybvh,MAMI,247896,https://open.spotify.com/track/6JjSoJ2laV4ZbKNb9nybvh,64,2022-11-16 14:22:36.063,6fdfCmP6hJg0gqFobszTYB,7tm9Tuc70geXOOyKhtZHIj
26,6CrNAgxGGcraHZqlbNmSlE-1668608075,6CrNAgxGGcraHZqlbNmSlE,Like Whoa,186666,https://open.spotify.com/track/6CrNAgxGGcraHZqlbNmSlE,58,2022-11-16 14:14:35.957,4edcMfYSGJXoyfzOv5w7Tu,2l0xOjnrmYsxNoQ0QI3G5a
27,2M2itA0spt6ZXit7l21WMJ-1668607894,2M2itA0spt6ZXit7l21WMJ,Lights Go Down,151874,https://open.spotify.com/track/2M2itA0spt6ZXit7l21WMJ,61,2022-11-16 14:11:34.030,1YTS3nXEQvTSKnJK8ccN0C,1cIz2h3ERs72r60yw78Deu
28,2hFUNKtpiHQnlvIZWhFKsC-1668607748,2hFUNKtpiHQnlvIZWhFKsC,So LA,132960,https://open.spotify.com/track/2hFUNKtpiHQnlvIZWhFKsC,43,2022-11-16 14:09:08.170,4Asl31lzChRm6jUZofPuAg,0chgVFZwiDibt2EHZVZhzN
29,2hFUNKtpiHQnlvIZWhFKsC-1668607616,2hFUNKtpiHQnlvIZWhFKsC,So LA,132960,https://open.spotify.com/track/2hFUNKtpiHQnlvIZWhFKsC,43,2022-11-16 14:06:56.311,4Asl31lzChRm6jUZofPuAg,0chgVFZwiDibt2EHZVZhzN
30,2hFUNKtpiHQnlvIZWhFKsC-1668607361,2hFUNKtpiHQnlvIZWhFKsC,So LA,132960,https://open.spotify.com/track/2hFUNKtpiHQnlvIZWhFKsC,43,2022-11-16 14:02:41.115,4Asl31lzChRm6jUZofPuAg,0chgVFZwiDibt2EHZVZhzN
31,6k5DKQMC96daK6fSvAxdQv-1668607233,6k5DKQMC96daK6fSvAxdQv,Satisfaction,155676,https://open.spotify.com/track/6k5DKQMC96daK6fSvAxdQv,60,2022-11-16 14:00:33.037,62hlQlBO241sKpVTPgwAOi,1Cs0zKBU1kc0i8ypK3B9ai
32,5PkJ2ssBCzKHaztJVASw2b-1668607074,5PkJ2ssBCzKHaztJVASw2b,Body Pump - Lady Bee Remix,176097,https://open.spotify.com/track/5PkJ2ssBCzKHaztJVASw2b,61,2022-11-16 13:57:54.700,3eVVyHEF1waq5kbMFm9pdJ,5ITI6SEoUZMIXXkzCfr4oE
33,5r2XxAso8w45S9ircIjRKR-1668606550,5r2XxAso8w45S9ircIjRKR,Energia - Parte 2,269103,https://open.spotify.com/track/5r2XxAso8w45S9ircIjRKR,41,2022-11-16 13:49:10.036,4BnJeKnzYCj7JneNoTpkMN,586uxXMyD5ObPuzjtrzO1Q
34,59ZfFk7ETa57vQY07XxliT-1668606286,59ZfFk7ETa57vQY07XxliT,Desert Night,325000,https://open.spotify.com/track/59ZfFk7ETa57vQY07XxliT,53,2022-11-16 13:44:46.079,3HZKPiOGyFqmLvehf77H47,5Pb27ujIyYb33zBqVysBkj
35,59ZfFk7ETa57vQY07XxliT-1668540683,59ZfFk7ETa57vQY07XxliT,Desert Night,325000,https://open.spotify.com/track/59ZfFk7ETa57vQY07XxliT,53,2022-11-15 19:31:23.875,3HZKPiOGyFqmLvehf77H47,5Pb27ujIyYb33zBqVysBkj
36,3B8Tx2eKzZ1u6bPnozOL1h-1668540554,3B8Tx2eKzZ1u6bPnozOL1h,Treat You Better,273640,https://open.spotify.com/track/3B8Tx2eKzZ1u6bPnozOL1h,61,2022-11-15 19:29:14.111,5Jazpq8mEgSgQs06mdwkQd,5Pb27ujIyYb33zBqVysBkj
37,1058fW9H3fZA6QjYCdOBad-1668536570,1058fW9H3fZA6QjYCdOBad,Don't Go Yet,164842,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad,76,2022-11-15 18:22:50.466,4gxhWdfO9qAogokjIc2bPZ,4nDoRrQiYLoBzwC5BhVJzF
38,01wpPOPqQ3XyS6hBN00HfK-1668533829,01wpPOPqQ3XyS6hBN00HfK,In the Morning,246495,https://open.spotify.com/track/01wpPOPqQ3XyS6hBN00HfK,58,2022-11-15 17:37:09.112,6Xhb46t8f3z8FkuXQAj4UV,28j8lBWDdDSHSSt5oPlsX2
39,6CrNAgxGGcraHZqlbNmSlE-1668533155,6CrNAgxGGcraHZqlbNmSlE,Like Whoa,186666,https://open.spotify.com/track/6CrNAgxGGcraHZqlbNmSlE,58,2022-11-15 17:25:55.898,4edcMfYSGJXoyfzOv5w7Tu,2l0xOjnrmYsxNoQ0QI3G5a
40,2M2itA0spt6ZXit7l21WMJ-1668532977,2M2itA0spt6ZXit7l21WMJ,Lights Go Down,151874,https://open.spotify.com/track/2M2itA0spt6ZXit7l21WMJ,61,2022-11-15 17:22:57.039,1YTS3nXEQvTSKnJK8ccN0C,1cIz2h3ERs72r60yw78Deu
41,2hFUNKtpiHQnlvIZWhFKsC-1668532830,2hFUNKtpiHQnlvIZWhFKsC,So LA,132960,https://open.spotify.com/track/2hFUNKtpiHQnlvIZWhFKsC,43,2022-11-15 17:20:30.057,4Asl31lzChRm6jUZofPuAg,0chgVFZwiDibt2EHZVZhzN
42,6k5DKQMC96daK6fSvAxdQv-1668532702,6k5DKQMC96daK6fSvAxdQv,Satisfaction,155676,https://open.spotify.com/track/6k5DKQMC96daK6fSvAxdQv,60,2022-11-15 17:18:22.063,62hlQlBO241sKpVTPgwAOi,1Cs0zKBU1kc0i8ypK3B9ai
43,0cBPhFzSCEH9Bdc8N5xqKW-1668532551,0cBPhFzSCEH9Bdc8N5xqKW,Die A Little Bit (Remix),223036,https://open.spotify.com/track/0cBPhFzSCEH9Bdc8N5xqKW,43,2022-11-15 17:15:51.988,5xEl7MGvAzl2FxwVlngE1M,0NIIxcxNHmOoyBx03SfTCD
44,5PkJ2ssBCzKHaztJVASw2b-1668532333,5PkJ2ssBCzKHaztJVASw2b,Body Pump - Lady Bee Remix,176097,https://open.spotify.com/track/5PkJ2ssBCzKHaztJVASw2b,61,2022-11-15 17:12:13.914,3eVVyHEF1waq5kbMFm9pdJ,5ITI6SEoUZMIXXkzCfr4oE
45,59ZfFk7ETa57vQY07XxliT-1668523759,59ZfFk7ETa57vQY07XxliT,Desert Night,325000,https://open.spotify.com/track/59ZfFk7ETa57vQY07XxliT,53,2022-11-15 14:49:19.239,3HZKPiOGyFqmLvehf77H47,5Pb27ujIyYb33zBqVysBkj
46,3B8Tx2eKzZ1u6bPnozOL1h-1668523439,3B8Tx2eKzZ1u6bPnozOL1h,Treat You Better,273640,https://open.spotify.com/track/3B8Tx2eKzZ1u6bPnozOL1h,61,2022-11-15 14:43:59.142,5Jazpq8mEgSgQs06mdwkQd,5Pb27ujIyYb33zBqVysBkj
47,6rLQZW36LaEUGWl3sWTg7v-1668523171,6rLQZW36LaEUGWl3sWTg7v,No Place,237986,https://open.spotify.com/track/6rLQZW36LaEUGWl3sWTg7v,60,2022-11-15 14:39:31.231,5Jazpq8mEgSgQs06mdwkQd,5Pb27ujIyYb33zBqVysBkj
48,2zh01m4PiHaZz4BAm0NRxs-1668522938,2zh01m4PiHaZz4BAm0NRxs,Tie Me Down (with Elley Duhé),218239,https://open.spotify.com/track/2zh01m4PiHaZz4BAm0NRxs,64,2022-11-15 14:35:38.039,2IAVHJdaRPFA6MQqXHoG75,2ZRQcIgzPCVaT9XKhXZIzh
49,7n1940b6kHcaEewFSZXnXa-1668522725,7n1940b6kHcaEewFSZXnXa,Better Not (with Wafia),222865,https://open.spotify.com/track/7n1940b6kHcaEewFSZXnXa,64,2022-11-15 14:32:05.023,21R2CiMVZH2MY514Sq2DIG,7wg1qvie3KqDNQbAkTdbX0
